example_id,vignette_name,problem_type,intersection_size,response_type,has_statistics,variant,prompt,well_posed,normative,p_c_and_d_given_a,normative_choice,normative_percent,normative_open,confidence_required,numeric_score_percent,numeric_score_choice,scepticism_required,scepticism_score_target,option_a_label,option_b_label,option_c_label,option_d_label,option_e_label,option_a_lure,option_b_lure,option_c_lure,option_d_lure,option_e_lure,option_f_label,option_g_label,option_h_label,option_f_lure,option_g_lure,option_h_lure,model,llm_response,reasoning,answer_line,confidence_line,parsed_answer_type,parsed_percent,parsed_choice,parsed_confidence,scoring_type,parseable,score
actor_waiter_overlap__overlap__open_no_probs,actor waiter overlap,overlap,small,open,false,open_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), some are actors and the rest are non-actors.
Among actors, some also work as waiters and some have a secondary acting job. An estimated 1.8% fall into both categories.

Using knowledge of the world, please estimate the probability that a person who was an actor or a non-actor and who worked part-time at their primary job in the reference week was an actor.

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.018,,0.03737,0.04%,true,0.03966,,false,0.03737,,,,,,,,,,,,,,,,,anthropic/claude-opus-4-8@default,"About 0.05%
2",,About 0.05%,2,probability,0.05,,2,open,true,true
actor_waiter_overlap__overlap__open_probs,actor waiter overlap,overlap,small,open,true,open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), 0.03% are actors and the remainder are non-actors.
Among actors, 3.5% also work as waiters and 30% have a secondary acting job. An estimated 1.8% fall into both categories.
Among actors who also work as waiters, 65% worked part-time at their primary job in the reference week; among actors whose acting job is secondary, 55% worked part-time at their primary job in the reference week; among non-actors, 16% worked part-time at their primary job in the reference week.

Given that an actor or a non-actor worked part-time at their primary job in the reference week, what is the probability the person was an actor?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.018,,0.03737,0.04%,true,0.03966,,false,0.03737,,,,,,,,,,,,,,,,,anthropic/claude-opus-4-8@default,"I need to find P(actor | part-time).

**Setup of population:**
- Total: 166.4 million
- Actors: 0.03% = 0.0003 × 166.4M = 49,920
- Non-actors: 166,350,080

**Among actors (49,920):**
- Waiters: 3.5% = 1,747.2
- Secondary acting job: 30% = 14,976
-",,I need to find P(actor | part-time).,**Setup of population:**,unparseable,,,,open,false,false
ca_trump_voter__implausible__mc_full_no_probs,CA Trump voter,well_posed,0,mc_full,false,mc_full_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, some are registered in California and the rest are registered elsewhere.
Among those registered in California, some are registered in southern California and some in other parts of the state.

Using knowledge of the world, please estimate the probability that someone who voted for Donald Trump in the 2024 presidential election was registered in California.

A. About 75%
B. About 17%
C. About 55%
D. About 63%
E. About 28%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,implausible,0.0,A,74.67,75%,true,74.65,A,true,H,About 75%,About 17%,About 55%,About 63%,About 28%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_c*s_c × q_d*s_d (product; assumes independence),q_c*s_c only (first pathway; assumes partition),q_d*s_d only (second pathway; assumes partition),P(T | A) confusion,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"B
3",,B,3,mc_choice,,B,3,mc_full,true,false
ca_trump_voter__implausible__mc_full_probs,CA Trump voter,well_posed,0,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 80% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% registered in southern California and 38% registered in other parts of the state.
Among those registered in southern California, 27% voted for Donald Trump in the 2024 presidential election; among those registered in other parts of the state, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in California?

A. About 75%
B. About 17%
C. About 63%
D. About 55%
E. About 28%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,implausible,0.0,A,74.67,75%,true,74.65,A,true,H,About 75%,About 17%,About 63%,About 55%,About 28%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_c*s_c × q_d*s_d (product; assumes independence),q_d*s_d only (second pathway; assumes partition),q_c*s_c only (first pathway; assumes partition),P(T | A) confusion,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"Let me work through this.

Among California voters: 60% southern, 38% other = 98% (2% unaccounted, but proceed).

P(CA) = 0.80
- Southern CA: 0.80 × 0.60 = 0.48, Trump: 0.48 × 0.27 = 0.1296
- Other CA: 0.80 × 0.38 = 0.304, Trump: ",,Let me work through this.,"Among California voters: 60% southern, 38% other = 98% (2% unaccounted, but proceed).",unparseable,,,2,mc_full,false,false
ca_trump_voter__implausible__mc_numeric_no_probs,CA Trump voter,well_posed,0,mc_numeric,false,mc_numeric_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, some are registered in California and the rest are registered elsewhere.
Among those registered in California, some are registered in southern California and some in other parts of the state.

Using knowledge of the world, please estimate the probability that someone who voted for Donald Trump in the 2024 presidential election was registered in California.

A. About 75%
B. About 17%
C. About 63%
D. About 55%
E. About 80%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,implausible,0.0,A,74.67,75%,true,74.65,A,true,n/a,About 75%,About 17%,About 63%,About 55%,About 80%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_c*s_c × q_d*s_d (product; assumes independence),q_d*s_d only (second pathway; assumes partition),q_c*s_c only (first pathway; assumes partition),P(A) confusion,,,,,,,anthropic/claude-opus-4-8@default,"B
4",,B,4,mc_choice,,B,4,mc_numeric,true,false
ca_trump_voter__implausible__mc_numeric_probs,CA Trump voter,well_posed,0,mc_numeric,true,mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 80% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% registered in southern California and 38% registered in other parts of the state.
Among those registered in southern California, 27% voted for Donald Trump in the 2024 presidential election; among those registered in other parts of the state, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in California?

A. About 75%
B. About 63%
C. About 17%
D. About 55%
E. About 28%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,implausible,0.0,A,74.67,75%,true,74.65,A,true,n/a,About 75%,About 63%,About 17%,About 55%,About 28%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_d*s_d only (second pathway; assumes partition),q_c*s_c × q_d*s_d (product; assumes independence),q_c*s_c only (first pathway; assumes partition),P(T | A) confusion,,,,,,,anthropic/claude-opus-4-8@default,"Let me compute the joint probabilities.

P(California) = 0.80
- Southern CA: 0.80 × 0.60 = 0.48, Trump: 0.48 × 0.27 = 0.1296
- Other CA: 0.80 × 0.38 = 0.304, Trump: 0.304 × 0.31 = 0.09424
- (Note: 0.60 + 0",,Let me compute the joint probabilities.,P(California) = 0.80,unparseable,,,,mc_numeric,false,false
ca_trump_voter__implausible__open_no_probs,CA Trump voter,well_posed,0,open,false,open_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, some are registered in California and the rest are registered elsewhere.
Among those registered in California, some are registered in southern California and some in other parts of the state.

Using knowledge of the world, please estimate the probability that someone who voted for Donald Trump in the 2024 presidential election was registered in California.

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,implausible,0.0,,74.67,75%,true,74.65,,true,meta,,,,,,,,,,,,,,,,,anthropic/claude-opus-4-8@default,"6%
2",,6%,2,probability,6,,2,open,true,false
ca_trump_voter__implausible__open_probs,CA Trump voter,well_posed,0,open,true,open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 80% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% registered in southern California and 38% registered in other parts of the state.
Among those registered in southern California, 27% voted for Donald Trump in the 2024 presidential election; among those registered in other parts of the state, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in California?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,implausible,0.0,,74.67,75%,true,74.65,,true,meta,,,,,,,,,,,,,,,,,anthropic/claude-opus-4-8@default,"Let me work through this with the given numbers.

P(CA) = 0.80, P(elsewhere) = 0.20
Within CA: Southern = 0.60, other parts = 0.38 (note: sums to 0.98, not 1.00)

Southern CA: 0.80 × 0.60 = 0.48, Trump 0.27 → 0.1296
Other CA: 0.80 ",,Let me work through this with the given numbers.,"P(CA) = 0.80, P(elsewhere) = 0.20",unparseable,,,,open,false,false
ca_trump_voter__mc_full_no_probs,CA Trump voter,well_posed,0,mc_full,false,mc_full_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, some are registered in California and the rest are registered elsewhere.
Among those registered in California, some are registered in southern California and some in other parts of the state.

Using knowledge of the world, please estimate the probability that someone who voted for Donald Trump in the 2024 presidential election was registered in California.

A. About 10%
B. About 4%
C. About 6%
D. About 1%
E. About 13%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,A,9.918,9.9%,true,9.912,A,false,A,About 10%,About 4%,About 6%,About 1%,About 13%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_c*s_c only (first pathway; assumes partition),q_d*s_d only (second pathway; assumes partition),q_c*s_c × q_d*s_d (product; assumes independence),P(A) confusion,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"A
3",,A,3,mc_choice,,A,3,mc_full,true,true
ca_trump_voter__mc_full_probs,CA Trump voter,well_posed,0,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% registered in southern California and 38% registered in other parts of the state.
Among those registered in southern California, 27% voted for Donald Trump in the 2024 presidential election; among those registered in other parts of the state, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in California?

A. About 10%
B. About 4%
C. About 6%
D. About 1%
E. About 13%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,A,9.918,9.9%,true,9.912,A,false,A,About 10%,About 4%,About 6%,About 1%,About 13%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_c*s_c only (first pathway; assumes partition),q_d*s_d only (second pathway; assumes partition),q_c*s_c × q_d*s_d (product; assumes independence),P(A) confusion,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"Let me compute the probabilities.

P(California) = 0.13, P(elsewhere) = 0.87

Within California:
- Southern: 0.60 × 0.13 = 0.078, Trump: 0.27 → 0.02106
- Other CA: 0.38 × 0.13 = 0.0494, Trump: 0.31 → 0.015314
- (Note: 60% +",,Let me compute the probabilities.,"P(California) = 0.13, P(elsewhere) = 0.87",unparseable,,,,mc_full,false,false
ca_trump_voter__mc_numeric_no_probs,CA Trump voter,well_posed,0,mc_numeric,false,mc_numeric_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, some are registered in California and the rest are registered elsewhere.
Among those registered in California, some are registered in southern California and some in other parts of the state.

Using knowledge of the world, please estimate the probability that someone who voted for Donald Trump in the 2024 presidential election was registered in California.

A. About 10%
B. About 1%
C. About 6%
D. About 4%
E. About 13%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,A,9.918,9.9%,true,9.912,A,false,n/a,About 10%,About 1%,About 6%,About 4%,About 13%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_c*s_c × q_d*s_d (product; assumes independence),q_d*s_d only (second pathway; assumes partition),q_c*s_c only (first pathway; assumes partition),P(A) confusion,,,,,,,anthropic/claude-opus-4-8@default,"A
3",,A,3,mc_choice,,A,3,mc_numeric,true,true
ca_trump_voter__mc_numeric_probs,CA Trump voter,well_posed,0,mc_numeric,true,mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% registered in southern California and 38% registered in other parts of the state.
Among those registered in southern California, 27% voted for Donald Trump in the 2024 presidential election; among those registered in other parts of the state, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in California?

A. About 10%
B. About 1%
C. About 4%
D. About 6%
E. About 13%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,A,9.918,9.9%,true,9.912,A,false,n/a,About 10%,About 1%,About 4%,About 6%,About 13%,overlap-aware Bayes (uses P(C∩D|A) estimate),q_c*s_c × q_d*s_d (product; assumes independence),q_c*s_c only (first pathway; assumes partition),q_d*s_d only (second pathway; assumes partition),P(A) confusion,,,,,,,anthropic/claude-opus-4-8@default,"A
5",,A,5,mc_choice,,A,5,mc_numeric,true,true
ca_trump_voter__open_no_probs,CA Trump voter,well_posed,0,open,false,open_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, some are registered in California and the rest are registered elsewhere.
Among those registered in California, some are registered in southern California and some in other parts of the state.

Using knowledge of the world, please estimate the probability that someone who voted for Donald Trump in the 2024 presidential election was registered in California.

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,,9.918,9.9%,true,9.912,,false,9.918,,,,,,,,,,,,,,,,,anthropic/claude-opus-4-8@default,"6%
2",,6%,2,probability,6,,2,open,true,false
