example_id,vignette_name,failure_mode,condition,problem_type,intersection_size,response_type,has_statistics,variant,prompt,well_posed,normative,true_objective,naive_objective,true_solution,solution_keys,objective_name,implicit_integer,implicit_nonnegative,normative_percent,normative_choice,confidence_required,scepticism_required,scepticism_score_target,option_a_label,option_b_label,violating_solution,violating_objective,optimization_criterion,stated_constraints,tacit_mistake,model,llm_response,reasoning,answer_line,confidence_line,comment_line,parsed_answer_type,parsed_percent,parsed_choice,parsed_confidence,scoring_type,parseable,score,naive_lp_confusion,parsed_objective,parsed_solution
coffee_roaster__fractional_ok__json,coffee roaster,fractional_ok,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A coffee roaster prepares two blends for wholesale sale: House Blend and Morning Blend. House Blend uses 4 kg of arabica and 1 kg of robusta per batch, while Morning Blend uses 1 kg of arabica and 3 kg of robusta per batch. The roaster has 11 kg of arabica and 8 kg of robusta available. Profit is $52 per batch of House Blend and $37 per batch of Morning Blend.

What production plan gives the highest total profit?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""house_blend"": <number>, ""morning_blend"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""house_blend"": 0, ""morning_blend"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,,false,false,n/a,,,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer",anthropic/claude-opus-5@default,"{""solution"": {""house_blend"": 2, ""morning_blend"": 2}, ""cost"": 178}

Assuming batches must be whole units, the best integer plan is 2 House Blend and 2 Morning Blend batches, using 10 kg arabica (1 kg spare) and 8 kg robusta (fully used), for $178 profit. Nearby alternatives are worse: 2 House + 1 Morning = $141; 1 House + 2 Morning = $126. If fractional batches were allowed, the LP optimum is 2.4545 House and 1.1818 Morning for about $171.3 — lower than the integer solution above only because the continuous optimum here is actually $171.4 at the arabica/robusta intersection, so the integer point (2,2) is preferable and feasible. Verify batch divisibility with the roaster before committing.",,"{""solution"": {""house_blend"": 2, ""morning_blend"": 2}, ""cost"": 178}

Assuming batches must be whole units, the best integer plan is 2 House Blend and 2 Morning Blend batches, using 10 kg arabica (1 kg spare) and 8 kg robusta (fully used), for $178 profit. Nearby alternatives are worse: 2 House + 1 Morning = $141; 1 House + 2 Morning = $126. If fractional batches were allowed, the LP optimum is 2.4545 House and 1.1818 Morning for about $171.3 — lower than the integer solution above only because the continuous optimum here is actually $171.4 at the arabica/robusta intersection, so the integer point (2,2) is preferable and feasible. Verify batch divisibility with the roaster before committing.",,,probability,178,,,open,true,false,true,178,"{""house_blend"": 2, ""morning_blend"": 2}"
coffee_roaster__fractional_ok__needs_tacit_constraint,coffee roaster,fractional_ok,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

A coffee roaster prepares two blends for wholesale sale: House Blend and Morning Blend. House Blend uses 4 kg of arabica and 1 kg of robusta per batch, while Morning Blend uses 1 kg of arabica and 3 kg of robusta per batch. The roaster has 11 kg of arabica and 8 kg of robusta available. Profit is $52 per batch of House Blend and $37 per batch of Morning Blend.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer",anthropic/claude-opus-5@default,A,,A,,,mc_choice,,A,,mc_numeric,true,true,false,,
fund_allocation__nonnegativity__detects_tacit_violation,fund allocation,nonnegativity,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

An investor may invest up to $10,000 split between Fund A and Fund B. Fund A returns 9.0% per year and Fund B returns 4.5% per year. Each dollar in Fund A uses 1.5 risk units and each dollar in Fund B uses 0.5 risk units; the investor's risk budget is 9,000 units. Fund A accepts at most $8,500 from any one client.

What allocation gives the highest total return in the first year?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""fund_a"": <number>, ""fund_b"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total return under that plan.
Example shape (values are placeholders): {""solution"": {""fund_a"": 0, ""fund_b"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 427.5, ""solution"": {""fund_a"": 8500, ""fund_b"": -7500}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0",anthropic/claude-opus-5@default,B,,B,,,mc_choice,,B,,mc_numeric,true,true,false,,
fund_allocation__nonnegativity__explicit__json,fund allocation,nonnegativity,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

An investor may invest up to $10,000 split between Fund A and Fund B. Fund A returns 9.0% per year and Fund B returns 4.5% per year. Each dollar in Fund A uses 1.5 risk units and each dollar in Fund B uses 0.5 risk units; the investor's risk budget is 9,000 units. Fund A accepts at most $8,500 from any one client. The amount invested in each fund must be non-negative (no shorting / borrowing against a fund).

What allocation gives the highest total return in the first year?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""fund_a"": <number>, ""fund_b"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total return under that plan.
Example shape (values are placeholders): {""solution"": {""fund_a"": 0, ""fund_b"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,,false,false,n/a,,,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0",anthropic/claude-opus-5@default,"{""solution"": {""fund_a"": 4000, ""fund_b"": 6000}, ""cost"": 630}

Maximize 0.09A + 0.045B subject to A + B ≤ 10,000; 1.5A + 0.5B ≤ 9,000; 0 ≤ A ≤ 8,500; B ≥ 0.

Fund A is preferred per dollar (9% vs 4.5%), but it consumes 3× the risk units. The binding pair is the budget and risk constraints: solving A + B = 10,000 and 1.5A + 0.5B = 9,000 gives A = 4,000, B = 6,000, using the full $10,000 and all 9,000 risk units. Return = 0.09(4,000) + 0.045(6,000) = 360 + 270 = $630.

Checked alternatives: all-in on A within the risk cap (A = 6,000, B = 0) yields $540; A = 8,500 is infeasible on risk (12,750 units). The $8,500 per-client cap is non-binding here. Note the risk constraint alone would allow only $6,000 in Fund A, so shifting $2,000 from A to B (which frees 3 risk units per dollar moved) is what lets the full $10,000 be deployed.",,"{""solution"": {""fund_a"": 4000, ""fund_b"": 6000}, ""cost"": 630}

Maximize 0.09A + 0.045B subject to A + B ≤ 10,000; 1.5A + 0.5B ≤ 9,000; 0 ≤ A ≤ 8,500; B ≥ 0.

Fund A is preferred per dollar (9% vs 4.5%), but it consumes 3× the risk units. The binding pair is the budget and risk constraints: solving A + B = 10,000 and 1.5A + 0.5B = 9,000 gives A = 4,000, B = 6,000, using the full $10,000 and all 9,000 risk units. Return = 0.09(4,000) + 0.045(6,000) = 360 + 270 = $630.

Checked alternatives: all-in on A within the risk cap (A = 6,000, B = 0) yields $540; A = 8,500 is infeasible on risk (12,750 units). The $8,500 per-client cap is non-binding here. Note the risk constraint alone would allow only $6,000 in Fund A, so shifting $2,000 from A to B (which frees 3 risk units per dollar moved) is what lets the full $10,000 be deployed.",,,probability,630,,,open,true,true,false,630,"{""fund_a"": 4000, ""fund_b"": 6000}"
fund_allocation__nonnegativity__json,fund allocation,nonnegativity,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

An investor may invest up to $10,000 split between Fund A and Fund B. Fund A returns 9.0% per year and Fund B returns 4.5% per year. Each dollar in Fund A uses 1.5 risk units and each dollar in Fund B uses 0.5 risk units; the investor's risk budget is 9,000 units. Fund A accepts at most $8,500 from any one client.

What allocation gives the highest total return in the first year?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""fund_a"": <number>, ""fund_b"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total return under that plan.
Example shape (values are placeholders): {""solution"": {""fund_a"": 0, ""fund_b"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,,false,false,n/a,,,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0",anthropic/claude-opus-5@default,"{""solution"": {""fund_a"": 4000, ""fund_b"": 6000}, ""cost"": 630}

Constraints: A + B ≤ 10,000; 1.5A + 0.5B ≤ 9,000; A ≤ 8,500; A, B ≥ 0. Maximize 0.09A + 0.045B.

Since Fund A yields twice the return per dollar but uses three times the risk units, the binding trade-off is between the budget and risk limits. Both bind at the optimum: A + B = 10,000 and 1.5A + 0.5B = 9,000 give A = 4,000, B = 6,000 (risk used = 6,000 + 3,000 = 9,000; capital used = 10,000; A well under the 8,500 cap).

Return = 0.09(4,000) + 0.045(6,000) = 360 + 270 = $630.

Comparison of other corner points: A = 6,000 with B = 0 (risk-limited, capital unused) returns $540; A = 0, B = 10,000 returns $450. So $630 is optimal. Note the risk budget, not the per-client cap on Fund A, is the active restriction — if the risk budget were raised, shifting dollars from B to A would keep improving the return up to A = 8,500.",,"{""solution"": {""fund_a"": 4000, ""fund_b"": 6000}, ""cost"": 630}

Constraints: A + B ≤ 10,000; 1.5A + 0.5B ≤ 9,000; A ≤ 8,500; A, B ≥ 0. Maximize 0.09A + 0.045B.

Since Fund A yields twice the return per dollar but uses three times the risk units, the binding trade-off is between the budget and risk limits. Both bind at the optimum: A + B = 10,000 and 1.5A + 0.5B = 9,000 give A = 4,000, B = 6,000 (risk used = 6,000 + 3,000 = 9,000; capital used = 10,000; A well under the 8,500 cap).

Return = 0.09(4,000) + 0.045(6,000) = 360 + 270 = $630.

Comparison of other corner points: A = 6,000 with B = 0 (risk-limited, capital unused) returns $540; A = 0, B = 10,000 returns $450. So $630 is optimal. Note the risk budget, not the per-client cap on Fund A, is the active restriction — if the risk budget were raised, shifting dollars from B to A would keep improving the return up to A = 8,500.",,,probability,630,,,open,true,true,false,630,"{""fund_a"": 4000, ""fund_b"": 6000}"
fund_allocation__nonnegativity__needs_tacit_constraint,fund allocation,nonnegativity,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

An investor may invest up to $10,000 split between Fund A and Fund B. Fund A returns 9.0% per year and Fund B returns 4.5% per year. Each dollar in Fund A uses 1.5 risk units and each dollar in Fund B uses 0.5 risk units; the investor's risk budget is 9,000 units. Fund A accepts at most $8,500 from any one client.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0",anthropic/claude-opus-5@default,A,,A,,,mc_choice,,A,,mc_numeric,true,true,false,,
pottery_studio__integrality__detects_tacit_violation,pottery studio,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

A pottery studio makes bowls and vases for sale. Each bowl takes 1.65 hours of throwing and 2.025 hours of glazing, and each vase takes 2.025 hours of throwing and 1.65 hours of glazing. This week the studio has at most 9 hours of throwing time and at most 9 hours of glazing time. The profit is $41.25 per bowl and $45 per vase.

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""bowls"": <number>, ""vases"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""bowls"": 0, ""vases"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 211.22, ""solution"": {""bowls"": 2.44898, ""vases"": 2.44898}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer",anthropic/claude-opus-5@default,B,,B,,,mc_choice,,B,,mc_numeric,true,true,false,,
pottery_studio__integrality__explicit__json,pottery studio,integrality,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A pottery studio makes bowls and vases for sale. Each bowl takes 1.65 hours of throwing and 2.025 hours of glazing, and each vase takes 2.025 hours of throwing and 1.65 hours of glazing. This week the studio has at most 9 hours of throwing time and at most 9 hours of glazing time. The profit is $41.25 per bowl and $45 per vase. Bowls and vases must be whole numbers (no fractional pieces).

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""bowls"": <number>, ""vases"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""bowls"": 0, ""vases"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,,false,false,n/a,,,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer",anthropic/claude-opus-5@default,"{""solution"": {""bowls"": 2, ""vases"": 2}, ""cost"": 172.5}

Enumerating integer options: throwing 1.65b + 2.025v ≤ 9 and glazing 2.025b + 1.65v ≤ 9. Feasible candidates include (0,4) with 8.1 throwing / 6.6 glazing → $180... let me verify: (0,4) uses 8.1 throwing hours and 6.6 glazing hours, both within limits, giving profit 4 × $45 = $180, which exceeds $172.50.

Correction: the optimal plan is 0 bowls and 4 vases for $180. Other checks: (4,0) = $165; (3,1) = $168.75; (2,2) = $172.50; (1,3) = $176.25; (2,3) uses 9.375 throwing hours — infeasible; (1,4) uses 9.75 throwing hours — infeasible; (0,5) needs 10.125 throwing hours — infeasible. So {""solution"": {""bowls"": 0, ""vases"": 4}, ""cost"": 180} is the correct answer, and my initial JSON line above should be disregarded.",,"{""solution"": {""bowls"": 2, ""vases"": 2}, ""cost"": 172.5}

Enumerating integer options: throwing 1.65b + 2.025v ≤ 9 and glazing 2.025b + 1.65v ≤ 9. Feasible candidates include (0,4) with 8.1 throwing / 6.6 glazing → $180... let me verify: (0,4) uses 8.1 throwing hours and 6.6 glazing hours, both within limits, giving profit 4 × $45 = $180, which exceeds $172.50.

Correction: the optimal plan is 0 bowls and 4 vases for $180. Other checks: (4,0) = $165; (3,1) = $168.75; (2,2) = $172.50; (1,3) = $176.25; (2,3) uses 9.375 throwing hours — infeasible; (1,4) uses 9.75 throwing hours — infeasible; (0,5) needs 10.125 throwing hours — infeasible. So {""solution"": {""bowls"": 0, ""vases"": 4}, ""cost"": 180} is the correct answer, and my initial JSON line above should be disregarded.",,,probability,172.5,,,open,true,false,false,172.5,"{""bowls"": 2, ""vases"": 2}"
pottery_studio__integrality__json,pottery studio,integrality,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A pottery studio makes bowls and vases for sale. Each bowl takes 1.65 hours of throwing and 2.025 hours of glazing, and each vase takes 2.025 hours of throwing and 1.65 hours of glazing. This week the studio has at most 9 hours of throwing time and at most 9 hours of glazing time. The profit is $41.25 per bowl and $45 per vase.

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""bowls"": <number>, ""vases"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""bowls"": 0, ""vases"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,,false,false,n/a,,,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer",anthropic/claude-opus-5@default,"{""solution"": {""bowls"": 0, ""vases"": 4}, ""cost"": 180}

Pottery items are indivisible, so I treated bowls and vases as integers. Checking the feasible integer combinations against the two 9-hour limits:

- Throwing: 1.65B + 2.025V ≤ 9
- Glazing: 2.025B + 1.65V ≤ 9

Feasible options and profits:
- 0 bowls, 4 vases: throwing 8.1 h, glazing 6.6 h — profit $180.00
- 4 bowls, 0 vases: throwing 6.6 h, glazing 8.1 h — profit $165.00
- 2 bowls, 2 vases: throwing 7.35 h, glazing 7.35 h — profit $172.50
- 1 bowl, 3 vases: throwing 7.725 h, glazing 6.975 h — profit $176.25
- 3 bowls, 1 vase: throwing 6.975 h, glazing 7.725 h — profit $168.75
- 5 vases would need 10.125 h of throwing — infeasible.

Best plan: make 4 vases and no bowls, for $180 profit. Note that the LP relaxation (allowing fractional units) would suggest about 2.45 of each item for roughly $211, so if partially completed pieces could carry over to next week, a more balanced mix would raise effective profit. Also note glazing time is left over (2.4 h) under the recommended plan — if the studio can obtain additional throwing time, profit rises quickly, since throwing is the binding constraint.",,"{""solution"": {""bowls"": 0, ""vases"": 4}, ""cost"": 180}

Pottery items are indivisible, so I treated bowls and vases as integers. Checking the feasible integer combinations against the two 9-hour limits:

- Throwing: 1.65B + 2.025V ≤ 9
- Glazing: 2.025B + 1.65V ≤ 9

Feasible options and profits:
- 0 bowls, 4 vases: throwing 8.1 h, glazing 6.6 h — profit $180.00
- 4 bowls, 0 vases: throwing 6.6 h, glazing 8.1 h — profit $165.00
- 2 bowls, 2 vases: throwing 7.35 h, glazing 7.35 h — profit $172.50
- 1 bowl, 3 vases: throwing 7.725 h, glazing 6.975 h — profit $176.25
- 3 bowls, 1 vase: throwing 6.975 h, glazing 7.725 h — profit $168.75
- 5 vases would need 10.125 h of throwing — infeasible.

Best plan: make 4 vases and no bowls, for $180 profit. Note that the LP relaxation (allowing fractional units) would suggest about 2.45 of each item for roughly $211, so if partially completed pieces could carry over to next week, a more balanced mix would raise effective profit. Also note glazing time is left over (2.4 h) under the recommended plan — if the studio can obtain additional throwing time, profit rises quickly, since throwing is the binding constraint.",,,probability,180,,,open,true,true,false,180,"{""bowls"": 0, ""vases"": 4}"
pottery_studio__integrality__needs_tacit_constraint,pottery studio,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

A pottery studio makes bowls and vases for sale. Each bowl takes 1.65 hours of throwing and 2.025 hours of glazing, and each vase takes 2.025 hours of throwing and 1.65 hours of glazing. This week the studio has at most 9 hours of throwing time and at most 9 hours of glazing time. The profit is $41.25 per bowl and $45 per vase.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer",anthropic/claude-opus-5@default,A,,A,,,mc_choice,,A,,mc_numeric,true,true,false,,
print_shop__integrality__detects_tacit_violation,print shop,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

A print shop produces posters and booklets for sale. Each poster takes 1.5 hours of printing and 2.25 hours of binding, and each booklet takes 2.25 hours of printing and 1.5 hours of binding. This week the shop has at most 9 hours of printing time and at most 9 hours of binding time. The profit is $37.50 per poster and $50 per booklet.

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""posters"": <number>, ""booklets"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""posters"": 0, ""booklets"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 210.0, ""solution"": {""booklets"": 2.4, ""posters"": 2.4}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer",anthropic/claude-opus-5@default,B,,B,,,mc_choice,,B,,mc_numeric,true,true,false,,
print_shop__integrality__explicit__json,print shop,integrality,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A print shop produces posters and booklets for sale. Each poster takes 1.5 hours of printing and 2.25 hours of binding, and each booklet takes 2.25 hours of printing and 1.5 hours of binding. This week the shop has at most 9 hours of printing time and at most 9 hours of binding time. The profit is $37.50 per poster and $50 per booklet. Posters and booklets must be whole numbers (no fractional print jobs).

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""posters"": <number>, ""booklets"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""posters"": 0, ""booklets"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,,false,false,n/a,,,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer",anthropic/claude-opus-5@default,"{""solution"": {""posters"": 2, ""booklets"": 2}, ""cost"": 175}

Enumerating integer options: constraints are 1.5P + 2.25B ≤ 9 (printing) and 2.25P + 1.5B ≤ 9 (binding).

- (0,4): printing 9.0 ✓, binding 6.0 ✓ → profit $200... check: 1.5(0)+2.25(4)=9 ✓, 2.25(0)+1.5(4)=6 ✓ → $200.

Correction: (0,4) is feasible and yields $200, which beats (2,2) at $175. Other candidates: (1,3) → printing 8.25 ✓, binding 6.75 ✓ → $187.50; (4,0) → binding 9 ✓, printing 6 ✓ → $150; (3,2) → printing 9 ✓, binding 9.75 ✗; (2,3) → printing 9.75 ✗.

Revised answer: {""solution"": {""posters"": 0, ""booklets"": 4}, ""cost"": 200}

Please disregard the first JSON line; the correct optimal plan is 0 posters and 4 booklets for $200 profit. Note that the LP relaxation optimum is also at a corner near this region, and the binding constraint slack (3 hours of binding unused) reflects the integer restriction plus the higher per-hour return of booklets on the printing bottleneck.",,"{""solution"": {""posters"": 2, ""booklets"": 2}, ""cost"": 175}

Enumerating integer options: constraints are 1.5P + 2.25B ≤ 9 (printing) and 2.25P + 1.5B ≤ 9 (binding).

- (0,4): printing 9.0 ✓, binding 6.0 ✓ → profit $200... check: 1.5(0)+2.25(4)=9 ✓, 2.25(0)+1.5(4)=6 ✓ → $200.

Correction: (0,4) is feasible and yields $200, which beats (2,2) at $175. Other candidates: (1,3) → printing 8.25 ✓, binding 6.75 ✓ → $187.50; (4,0) → binding 9 ✓, printing 6 ✓ → $150; (3,2) → printing 9 ✓, binding 9.75 ✗; (2,3) → printing 9.75 ✗.

Revised answer: {""solution"": {""posters"": 0, ""booklets"": 4}, ""cost"": 200}

Please disregard the first JSON line; the correct optimal plan is 0 posters and 4 booklets for $200 profit. Note that the LP relaxation optimum is also at a corner near this region, and the binding constraint slack (3 hours of binding unused) reflects the integer restriction plus the higher per-hour return of booklets on the printing bottleneck.",,,probability,175,,,open,true,false,false,175,"{""booklets"": 2, ""posters"": 2}"
