example_id,vignette_name,failure_mode,condition,problem_type,intersection_size,response_type,has_statistics,variant,well_posed,normative,true_objective,naive_objective,true_solution,solution_keys,objective_name,implicit_integer,implicit_nonnegative,normative_percent,normative_choice,confidence_required,scepticism_required,scepticism_score_target,option_a_label,option_b_label,violating_solution,violating_objective,optimization_criterion,stated_constraints,tacit_mistake
pottery_studio__integrality__needs_tacit_constraint,pottery studio,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer"
pottery_studio__integrality__detects_tacit_violation,pottery studio,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer"
charter_buses__integrality__json,charter buses,integrality,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,,false,false,n/a,,,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer"
charter_buses__integrality__explicit__json,charter buses,integrality,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,,false,false,n/a,,,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer"
charter_buses__integrality__needs_tacit_constraint,charter buses,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer"
charter_buses__integrality__detects_tacit_violation,charter buses,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer"
fund_allocation__nonnegativity__json,fund allocation,nonnegativity,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,,false,false,n/a,,,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0"
fund_allocation__nonnegativity__explicit__json,fund allocation,nonnegativity,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,,false,false,n/a,,,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0"
fund_allocation__nonnegativity__needs_tacit_constraint,fund allocation,nonnegativity,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0"
fund_allocation__nonnegativity__detects_tacit_violation,fund allocation,nonnegativity,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,630,630,"{""fund_a"": 4000, ""fund_b"": 6000}","fund_a,fund_b",total return,false,true,630,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""fund_a"": 8500, ""fund_b"": -7500}",427.5,maximize 0.09 a + 0.045 b,a + b <= 10000; 1.5 a + 0.5 b <= 9000; a <= 8500,"a, b >= 0"
warehouse_shipping__nonnegativity__json,warehouse shipping,nonnegativity,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,,false,false,n/a,,,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0"
warehouse_shipping__nonnegativity__explicit__json,warehouse shipping,nonnegativity,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,,false,false,n/a,,,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0"
warehouse_shipping__nonnegativity__needs_tacit_constraint,warehouse shipping,nonnegativity,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0"
warehouse_shipping__nonnegativity__detects_tacit_violation,warehouse shipping,nonnegativity,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0"
coffee_roaster__fractional_ok__json,coffee roaster,fractional_ok,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,,false,false,n/a,,,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer"
coffee_roaster__fractional_ok__explicit__json,coffee roaster,fractional_ok,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,,false,false,n/a,,,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer"
coffee_roaster__fractional_ok__needs_tacit_constraint,coffee roaster,fractional_ok,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer"
coffee_roaster__fractional_ok__detects_tacit_violation,coffee roaster,fractional_ok,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer"
water_utility__fractional_ok__json,water utility,fractional_ok,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,218538.461538,198000,"{""industrial_supply"": 1.5384615384615385, ""irrigation_delivery"": 3.1538461538461537}","industrial_supply,irrigation_delivery",total profit,false,false,218538.461538,,false,false,n/a,,,"{""industrial_supply"": 2, ""irrigation_delivery"": 2}",198000,maximize 58000 i + 41000 r,5 i + 2 r <= 14; i + 3 r <= 11,"i, r integer"
water_utility__fractional_ok__explicit__json,water utility,fractional_ok,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,218538.461538,198000,"{""industrial_supply"": 1.5384615384615385, ""irrigation_delivery"": 3.1538461538461537}","industrial_supply,irrigation_delivery",total profit,false,false,218538.461538,,false,false,n/a,,,"{""industrial_supply"": 2, ""irrigation_delivery"": 2}",198000,maximize 58000 i + 41000 r,5 i + 2 r <= 14; i + 3 r <= 11,"i, r integer"
water_utility__fractional_ok__needs_tacit_constraint,water utility,fractional_ok,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,218538.461538,198000,"{""industrial_supply"": 1.5384615384615385, ""irrigation_delivery"": 3.1538461538461537}","industrial_supply,irrigation_delivery",total profit,false,false,218538.461538,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""industrial_supply"": 2, ""irrigation_delivery"": 2}",198000,maximize 58000 i + 41000 r,5 i + 2 r <= 14; i + 3 r <= 11,"i, r integer"
water_utility__fractional_ok__detects_tacit_violation,water utility,fractional_ok,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,218538.461538,198000,"{""industrial_supply"": 1.5384615384615385, ""irrigation_delivery"": 3.1538461538461537}","industrial_supply,irrigation_delivery",total profit,false,false,218538.461538,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""industrial_supply"": 2, ""irrigation_delivery"": 2}",198000,maximize 58000 i + 41000 r,5 i + 2 r <= 14; i + 3 r <= 11,"i, r integer"
specialty_chemicals__signed_domain__json,specialty chemicals,signed_domain,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,,false,false,n/a,,,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0"
specialty_chemicals__signed_domain__explicit__json,specialty chemicals,signed_domain,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,,false,false,n/a,,,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0"
specialty_chemicals__signed_domain__needs_tacit_constraint,specialty chemicals,signed_domain,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,B,false,true,B,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0"
specialty_chemicals__signed_domain__detects_tacit_violation,specialty chemicals,signed_domain,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0"
